Emne;Studiested (kort);Studiested (fullt navn);Emnekode (kilde);Emnekode brukt hos Karakterweb;Offisielt emnenavn;År;Semester (ordinær);Kandidater;Karakterskala;Snittkarakter (A=5..F=0);Strykprosent;A;B;C;D;E;F;Bestått;Ikke bestått;Merknad
Foretaksstrategi;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2705;bed-2003nett;Foretaksstrategi;2024;Vår;288;A-F;3.42;2.8;34;91;124;22;9;8;;;"Emnekode BED-2705 fra kildelisten fantes ikke; bed-2003nett (nettbasert-varianten av Foretaksstrategi) brukt i stedet."
Foretaksstrategi;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2705;bed-2003nett;Foretaksstrategi;2025;Vår;307;A-F;3.03;2.6;30;56;130;60;23;8;;;"Emnekode BED-2705 fra kildelisten fantes ikke; bed-2003nett (nettbasert-varianten av Foretaksstrategi) brukt i stedet."
Mikroøkonomi;UiT;UiT Norges arktiske universitet (nettbasert bachelor);SOK-1503;sok-1002nett;Mikroøkonomi: Økonomisk atferd, markeder og priser;2023;Vår;173;A-F;2.66;22.5;12;25;34;31;32;39;;;"Emnekode SOK-1503 fra kildelisten fantes ikke; sok-1002nett (nettbasert-varianten) brukt i stedet."
Mikroøkonomi;UiT;UiT Norges arktiske universitet (nettbasert bachelor);SOK-1503;sok-1002nett;Mikroøkonomi: Økonomisk atferd, markeder og priser;2024;Vår;149;A-F;2.96;25.5;18;27;25;15;26;38;;;"Emnekode SOK-1503 fra kildelisten fantes ikke; sok-1002nett (nettbasert-varianten) brukt i stedet."
Mikroøkonomi;UiT;UiT Norges arktiske universitet (nettbasert bachelor);SOK-1503;sok-1002nett;Mikroøkonomi: Økonomisk atferd, markeder og priser;2025;Vår;177;A-F;2.62;22.0;13;34;26;18;47;39;;;"Emnekode SOK-1503 fra kildelisten fantes ikke; sok-1002nett (nettbasert-varianten) brukt i stedet."
Makroøkonomi;UiT;UiT Norges arktiske universitet (nettbasert bachelor);SOK-1504;sok-1010nett;Makroøkonomisk analyse og økonomisk politikk;2023;Vår;144;A-F;2.7;21.5;14;18;26;30;25;31;;;"Emnekode SOK-1504 fra kildelisten fantes ikke; sok-1010nett (nettbasert-varianten) brukt i stedet."
Makroøkonomi;UiT;UiT Norges arktiske universitet (nettbasert bachelor);SOK-1504;sok-1010nett;Makroøkonomisk analyse og økonomisk politikk;2024;Vår;160;A-F;2.92;15.0;8;27;62;24;15;24;;;"Emnekode SOK-1504 fra kildelisten fantes ikke; sok-1010nett (nettbasert-varianten) brukt i stedet."
Makroøkonomi;UiT;UiT Norges arktiske universitet (nettbasert bachelor);SOK-1504;sok-1010nett;Makroøkonomisk analyse og økonomisk politikk;2025;Vår;158;A-F;3.46;23.4;10;49;49;13;0;37;;;"Emnekode SOK-1504 fra kildelisten fantes ikke; sok-1010nett (nettbasert-varianten) brukt i stedet."
Statistikk for økonomer;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2501;bed-2065 (+ bed-2011nett) (+ bed-2066);Statistikk for økonomer;2023;Høst;125;A-F;2.51;4.8;11;16;27;34;31;6;;;UiT delte i 2025 det tidligere kombinerte emnet «Samfunnsvitenskapelig metode og statistikk» (bed-2011nett) i to nye emner. Statistikk for økonomer fikk to parallelle 2025-emnekoder (bed-2065: 112 kand., bed-2066: 111 kand.) - siden det ikke er mulig å avgjøre hvilken som er nett/campus, er disse to slått sammen til én rad for 2025 (223 kand. totalt). Data 2023-2024 fra bed-2011nett.
Statistikk for økonomer;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2501;bed-2065 (+ bed-2011nett) (+ bed-2066);Statistikk for økonomer;2024;Høst;146;A-F;2.49;11.0;9;14;36;44;27;16;;;UiT delte i 2025 det tidligere kombinerte emnet «Samfunnsvitenskapelig metode og statistikk» (bed-2011nett) i to nye emner. Statistikk for økonomer fikk to parallelle 2025-emnekoder (bed-2065: 112 kand., bed-2066: 111 kand.) - siden det ikke er mulig å avgjøre hvilken som er nett/campus, er disse to slått sammen til én rad for 2025 (223 kand. totalt). Data 2023-2024 fra bed-2011nett.
Statistikk for økonomer;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2501;bed-2065 (+ bed-2011nett) (+ bed-2066);Statistikk for økonomer;2025;Høst;223;A-F;2.4;13.5;22;27;67;40;37;30;;;UiT delte i 2025 det tidligere kombinerte emnet «Samfunnsvitenskapelig metode og statistikk» (bed-2011nett) i to nye emner. Statistikk for økonomer fikk to parallelle 2025-emnekoder (bed-2065: 112 kand., bed-2066: 111 kand.) - siden det ikke er mulig å avgjøre hvilken som er nett/campus, er disse to slått sammen til én rad for 2025 (223 kand. totalt). Data 2023-2024 fra bed-2011nett.
Matematikk for økonomer;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-1501;bed-1501 (+ bed-1007nett);Matematikk for økonomer;2023;Høst;179;A-F;2.93;20.1;22;21;51;23;26;36;;;UiT renummererte emnet i 2025 (gammel nettkode bed-1007nett hadde både vår- og høstgjennomføring, kun størst per år beholdt). Erstattet av bed-1501, jf. brukerens egen emnekode fra studiekatalogen. Data 2023-2024 fra bed-1007nett, 2025 fra bed-1501.
Matematikk for økonomer;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-1501;bed-1501 (+ bed-1007nett);Matematikk for økonomer;2024;Høst;199;A-F;2.88;25.1;17;21;59;31;21;50;;;UiT renummererte emnet i 2025 (gammel nettkode bed-1007nett hadde både vår- og høstgjennomføring, kun størst per år beholdt). Erstattet av bed-1501, jf. brukerens egen emnekode fra studiekatalogen. Data 2023-2024 fra bed-1007nett, 2025 fra bed-1501.
Matematikk for økonomer;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-1501;bed-1501 (+ bed-1007nett);Matematikk for økonomer;2025;Høst;146;A-F;3.32;34.9;27;15;29;9;15;51;;;UiT renummererte emnet i 2025 (gammel nettkode bed-1007nett hadde både vår- og høstgjennomføring, kun størst per år beholdt). Erstattet av bed-1501, jf. brukerens egen emnekode fra studiekatalogen. Data 2023-2024 fra bed-1007nett, 2025 fra bed-1501.
Samfunnsvitenskapelig metode;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2506;bed-2046;Anvendt metode;2023;Vår;58;A-F;2.97;0;0;14;28;16;0;0;;;Emnekode BED-2506 fra kildelisten fantes ikke direkte, men bed-2046 «Anvendt metode» har egen sammenhengende historikk siden 2016 og er UiT sitt eget metodeemne for økonomiprogrammet (uavhengig av bed-2011/bed-2011nett-emnet, som dekket statistikk+metode kombinert).
Samfunnsvitenskapelig metode;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2506;bed-2046;Anvendt metode;2024;Vår;70;A-F;3.67;0;7;33;30;0;0;0;;;Emnekode BED-2506 fra kildelisten fantes ikke direkte, men bed-2046 «Anvendt metode» har egen sammenhengende historikk siden 2016 og er UiT sitt eget metodeemne for økonomiprogrammet (uavhengig av bed-2011/bed-2011nett-emnet, som dekket statistikk+metode kombinert).
Samfunnsvitenskapelig metode;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2506;bed-2046;Anvendt metode;2025;Vår;67;A-F;3.27;0;3;23;30;11;0;0;;;Emnekode BED-2506 fra kildelisten fantes ikke direkte, men bed-2046 «Anvendt metode» har egen sammenhengende historikk siden 2016 og er UiT sitt eget metodeemne for økonomiprogrammet (uavhengig av bed-2011/bed-2011nett-emnet, som dekket statistikk+metode kombinert).
