Emne;Studiested (kort);Studiested (fullt navn);Emnekode;Offisielt emnenavn;År;Periode;Kandidater;Karakterskala;Snittkarakter (A=5..F=0);Strykprosent;A;B;C;D;E;F;Bestått;Ikke bestått;Merknad
Foretaksstrategi;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6347;Innføring i strategi;2024;helår (vår+høst slått sammen);89;A-F;3.63;0.0;18;32;27;12;0;0;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Foretaksstrategi;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6347;Innføring i strategi;2025;helår (vår+høst slått sammen);108;A-F;3.6;0.0;14;46;39;9;0;0;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Mikroøkonomi;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6320;Mikroøkonomi;2023;helår (vår+høst slått sammen);71;A-F;1.83;28.2;4;14;3;15;15;20;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Mikroøkonomi;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6320;Mikroøkonomi;2024;helår (vår+høst slått sammen);75;A-F;2.24;9.3;7;12;9;18;22;7;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Mikroøkonomi;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6320;Mikroøkonomi;2025;helår (vår+høst slått sammen);84;A-F;3.12;4.8;15;24;17;16;8;4;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Makroøkonomi;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6322;Makroøkonomi;2023;helår (vår+høst slått sammen);34;A-F;2.18;8.8;0;4;12;7;8;3;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Makroøkonomi;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6322;Makroøkonomi;2024;helår (vår+høst slått sammen);70;A-F;2.34;14.3;7;12;12;16;13;10;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Makroøkonomi;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6322;Makroøkonomi;2025;helår (vår+høst slått sammen);86;A-F;2.98;7.0;16;24;11;18;11;6;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Matematikk for økonomer;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6323;Matematikk for økonomer;2023;helår (vår+høst slått sammen);73;A-F;3.71;4.1;25;15;26;4;0;3;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Matematikk for økonomer;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6323;Matematikk for økonomer;2024;helår (vår+høst slått sammen);87;A-F;3.74;6.9;33;26;17;0;5;6;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Matematikk for økonomer;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6323;Matematikk for økonomer;2025;helår (vår+høst slått sammen);158;A-F;4.19;1.9;82;40;26;7;0;3;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Statistikk for økonomer;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6356;Statistikk for økonomer;2023;helår (vår+høst slått sammen);45;A-F;4.11;0.0;18;14;13;0;0;0;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Statistikk for økonomer;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6356;Statistikk for økonomer;2024;helår (vår+høst slått sammen);51;A-F;3.96;0.0;21;12;13;5;0;0;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Statistikk for økonomer;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6356;Statistikk for økonomer;2025;helår (vår+høst slått sammen);80;A-F;3.96;0.0;33;23;16;4;4;0;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Samfunnsvitenskapelig metode;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6343;Samfunnsvitenskapelig metode;2023;helår (vår+høst slått sammen);27;A-F;3.3;0.0;0;11;13;3;0;0;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Samfunnsvitenskapelig metode;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6343;Samfunnsvitenskapelig metode;2024;helår (vår+høst slått sammen);43;A-F;3.12;0.0;3;11;17;12;0;0;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Samfunnsvitenskapelig metode;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6343;Samfunnsvitenskapelig metode;2025;helår (vår+høst slått sammen);52;A-F;3.42;0.0;6;17;22;7;0;0;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
